speakerid,L1,L1_coded,L1_Arabic,L1_Dutch,L1_French,L1_Polish,L1_Thai,L1_Vietnamese,Typology,pitch-code,tone-code,sex_0,sex_1,WER,MER,Proficiency
0,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.5285714285714286,0.4157894736842105,13
1,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.2517482517482518,0.2517482517482518,13
20,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.0625,0.0625,27
21,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.058823529,0.058823529,27
45,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.275,0.275,25
82,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,,,30
91,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.2222222222222222,0.2055555555555555,14.5
95,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.5,0.5,23.5
96,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.8125,0.8125,20.5
129,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.1222222222222222,0.1222222222222222,6
135,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,0.6666666666666666,13.5
149,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,1,1,23.5
156,Arabic,1,1,0,0,0,0,0,0,0,0,1,0,0.1634615384615384,0.1634615384615384,20
8,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.2053571428571428,0.2053571428571428,26
9,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.025,0.025,26
56,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0.5,11.5
59,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.2916666666666666,0.2916666666666666,26
75,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,1,1,10.5
80,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.2009803921568627,0.2009803921568627,22
88,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.25,0.25,21.5
94,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,1,1,20
109,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.3153846153846154,0.3071428571428571,27
118,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.5328947368421053,0.5328947368421053,22
125,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.8333333333333333,0.8333333333333333,14
144,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.3923076923076923,0.358974359,27
147,Arabic,1,1,0,0,0,0,0,0,0,0,0,1,0.358974359,0.358974359,12.5
22,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.3111111111111111,0.3111111111111111,12
23,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.225,0.225,12
44,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1801470588235294,0.1801470588235294,22.5
49,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.3555555555555555,0.3555555555555555,26
70,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1180555555555555,0.1180555555555555,21
103,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.2625,0.2443181818181818,26.5
108,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.3068181818181818,0.2916666666666666,14
113,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.2863247863247863,0.2698412698412698,27.5
115,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.2398989898989899,0.2398989898989899,28
134,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1180555555555555,0.1180555555555555,13.5
139,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1111111111111111,0.1111111111111111,14.5
146,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1984126984126984,0.1984126984126984,24
151,Dutch,2,0,1,0,0,0,0,0,0,0,1,0,0.1805555555555555,0.1805555555555555,22
10,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.2222222222222222,0.2222222222222222,24.5
11,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.381578947,0.3588516746411483,24.5
60,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.25,0.25,21
66,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.1388888888888889,0.1388888888888889,14.5
71,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.4841269841269841,0.4305555555555556,14
76,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.3520833333333333,0.3520833333333333,27.5
116,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.083333333,0.083333333,25
128,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.5555555555555556,0.5555555555555556,13.5
137,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.1714285714285714,0.1714285714285714,22.5
138,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.1805555555555555,0.1805555555555555,13.5
140,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.2767857142857143,0.2767857142857143,22
145,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.2373737373737373,0.2373737373737373,26
152,Dutch,2,0,1,0,0,0,0,0,0,0,0,1,0.3480392156862745,0.3480392156862745,26.5
28,French,3,0,0,1,0,0,0,0,0,0,1,0,0.2361111111111111,0.2361111111111111,23.5
29,French,3,0,0,1,0,0,0,0,0,0,1,0,0.1,0.1,23.5
54,French,3,0,0,1,0,0,0,0,0,0,1,0,0.2333333333333333,0.2333333333333333,26.5
55,French,3,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,25
62,French,3,0,0,1,0,0,0,0,0,0,1,0,1.2555555555555555,1,12.5
63,French,3,0,0,1,0,0,0,0,0,0,1,0,0.1351063829787234,0.1351063829787234,25.5
69,French,3,0,0,1,0,0,0,0,0,0,1,0,0.7142857142857143,0.7142857142857143,13.5
77,French,3,0,0,1,0,0,0,0,0,0,1,0,0.1875,0.1875,25.5
83,French,3,0,0,1,0,0,0,0,0,0,1,0,0.4696969696969696,0.4696969696969696,10.5
92,French,3,0,0,1,0,0,0,0,0,0,1,0,0.2666666666666666,0.2666666666666666,20
110,French,3,0,0,1,0,0,0,0,0,0,1,0,8.666666666666666,0.6666666666666666,13.5
119,French,3,0,0,1,0,0,0,0,0,0,1,0,0.1709401709401709,0.1709401709401709,20.5
124,French,3,0,0,1,0,0,0,0,0,0,1,0,0.1805555555555555,0.1709401709401709,22
6,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1875,0.1875,20
7,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1916666666666666,0.1916666666666666,20
39,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1565656565656565,0.1565656565656565,20
73,French,3,0,0,1,0,0,0,0,0,0,0,1,0.7875,0.6666666666666666,12
79,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1565656565656565,0.1565656565656565,25
85,French,3,0,0,1,0,0,0,0,0,0,0,1,0.2083333333333333,0.2083333333333333,12.5
90,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1432806324110672,0.1432806324110672,23
111,French,3,0,0,1,0,0,0,0,0,0,0,1,0.094017094,0.094017094,25
117,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1339285714285714,0.1339285714285714,13
123,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1875,0.1736111111111111,25
148,French,3,0,0,1,0,0,0,0,0,0,0,1,0.494047619,0.494047619,2
153,French,3,0,0,1,0,0,0,0,0,0,0,1,0.2,0.2,4.5
155,French,3,0,0,1,0,0,0,0,0,0,0,1,0.1269841269841269,0.1269841269841269,25
46,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.1111111111111111,0.1,12.5
58,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.2777777777777778,0.2777777777777778,13
72,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.1527777777777777,0.1527777777777777,24
84,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.25,0.25,13.5
89,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.3166666666666666,0.303030303,22
93,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.095454545,0.095454545,28
104,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.1762415824915825,0.1724537037037037,25
106,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.2666666666666666,0.2666666666666666,27.5
132,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.125,0.125,20
141,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.2478632478632478,0.2407407407407407,12
150,Polish,4,0,0,0,1,0,0,0,0,0,1,0,0.3166666666666666,0.303030303,26
2,Polish,4,0,0,0,1,0,0,0,0,0,0,1,1,0.9375,11
3,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.7272727272727273,0.7083333333333334,11
16,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.35,0.35,22
17,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.3407407407407407,0.296969697,22
26,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1458333333333333,0.1458333333333333,25.5
27,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1,0.1,25.5
36,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1269230769230769,0.1269230769230769,26.5
37,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.203125,0.203125,26.5
40,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0.3333333333333333,13
48,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.101010101,0.101010101,23.5
67,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.3482142857142857,0.3482142857142857,14.5
81,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.625,0.625,25
86,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1984126984126984,0.1984126984126984,14.5
98,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.2371794871794871,0.2371794871794871,24
101,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1762415824915825,0.1724537037037037,23
107,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.2698412698412698,0.2698412698412698,25
120,Polish,4,0,0,0,1,0,0,0,0,0,0,1,0.1555555555555555,0.1555555555555555,24.5
24,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.2727272727272727,0.25,10
25,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.356060606,0.3141025641025641,10
41,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.1041666666666666,0.1041666666666666,13.5
53,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.2222222222222222,0.2222222222222222,20.5
64,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.3871794871794872,0.3871794871794872,13.5
65,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.2539682539682539,0.2428571428571428,23.5
87,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.3194444444444444,0.3194444444444444,20.5
99,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.3333333333333333,0.2833333333333333,26
112,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.1071428571428571,0.1071428571428571,11.5
131,Thai,5,0,0,0,0,1,0,1,0,1,1,0,0.2916666666666666,0.2916666666666666,21.5
4,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.1642512077294686,0.1642512077294686,25.5
5,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.1704545454545454,0.1704545454545454,25.5
14,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.2083333333333333,0.2083333333333333,27.5
15,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.3108974358974359,0.3108974358974359,27.5
18,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.2,0.2,25
19,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.4166666666666666,0.3813131313131312,25
32,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.5,0.5,13.5
33,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.4021164021164021,0.3761904761904762,13.5
38,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.2196969696969696,0.2196969696969696,21
42,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.1988636363636363,0.1988636363636363,22
57,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.4191919191919192,0.3412698412698413,20
78,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.0625,0.0625,22
97,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.4033613445378151,0.3968253968253968,12.5
102,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.2863636363636364,0.2863636363636364,25
130,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.303030303,0.303030303,13
121,Thai,5,0,0,0,0,1,0,1,0,1,0,1,0.4761904761904761,0.4761904761904761,11
47,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.2539682539682539,0.2539682539682539,24
51,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.3784722222222222,0.35625,10.5
52,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.2863636363636364,0.2863636363636364,22.5
74,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.1634615384615384,0.1634615384615384,26
100,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.2601010101010101,0.251207729,26
105,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.1846153846153846,0.1846153846153846,25
122,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.4166666666666666,0.4166666666666666,20
126,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.2430555555555555,0.2222222222222222,13.5
127,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.1805555555555555,0.1805555555555555,13.5
133,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.1041666666666666,0.1041666666666666,20
143,Vietnamese,6,0,0,0,0,0,1,1,0,1,1,0,0.2379032258064516,0.2379032258064516,25.5
12,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.1458333333333333,0.1458333333333333,25
13,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.1653846153846154,0.1653846153846154,25
30,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.3622222222222222,0.3622222222222222,12
31,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.55,0.4428571428571428,12
34,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,2.020833333333333,0.6875,14
35,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.9821428571428572,0.875,14
43,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.2261904761904761,0.2261904761904761,20.5
50,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.1611111111111111,0.1594982078853046,22
61,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.261111111,0.261111111,20.5
68,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.3818181818181818,0.3818181818181818,25
114,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.4222222222222222,0.3693181818181818,25
136,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.1555555555555555,0.1555555555555555,21.5
142,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.225,0.225,10
154,Vietnamese,6,0,0,0,0,0,1,1,0,1,0,1,0.2083333333333333,0.2083333333333333,14.5